epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0748,1.14274,2.64571,1.60973,0.73537,0.42118,0.27072,0.18742,1.30421,2.88857,2.00259,0.000409483,0.000409483,0.000409483
2,64.5761,1.1914,2.01174,1.63233,0.52529,0.45443,0.3329,0.14662,1.77454,3.209,2.40548,0.000817971,0.000817971,0.000817971
3,94.6686,1.17792,1.75134,1.64425,0.83956,0.54955,0.63728,0.43881,1.20995,2.57611,2.10097,0.00121821,0.00121821,0.00121821
4,124.473,1.17727,1.62718,1.60185,0.49925,0.50712,0.55904,0.35099,1.37978,2.44291,2.27479,0.00121287,0.00121287,0.00121287
5,157.72,1.11367,1.54286,1.58407,0.59143,0.59928,0.58091,0.34157,1.54417,2.34175,2.66378,0.0012005,0.0012005,0.0012005
6,192.81,1.15966,1.4786,1.59459,0.67947,0.64155,0.71957,0.41909,1.34622,2.37243,2.14102,0.00118812,0.00118812,0.00118812
7,226.329,1.14245,1.36879,1.56061,0.67458,0.61481,0.68609,0.45952,1.27273,1.61389,2.07513,0.00117575,0.00117575,0.00117575
8,260.955,1.11028,1.35121,1.57081,0.65206,0.60646,0.6415,0.41504,1.21726,1.55308,1.95391,0.00116337,0.00116337,0.00116337
9,293.201,1.11343,1.32584,1.54673,0.69971,0.61931,0.67727,0.43238,1.18802,1.484,2.03621,0.001151,0.001151,0.001151
10,325.16,1.09485,1.22827,1.55575,0.62822,0.68161,0.70697,0.48195,1.14838,1.39314,1.90661,0.00113863,0.00113863,0.00113863
11,354.947,1.06113,1.20358,1.51717,0.70667,0.64701,0.73279,0.46164,1.26788,1.26551,2.063,0.00112625,0.00112625,0.00112625
12,384.419,1.09275,1.18805,1.52968,0.60255,0.7168,0.73491,0.48778,1.20199,1.32132,1.91258,0.00111388,0.00111388,0.00111388
13,413.123,1.0438,1.11057,1.49685,0.83325,0.5742,0.68162,0.45851,1.20621,1.2911,1.91019,0.0011015,0.0011015,0.0011015
14,23281.8,1.05469,1.15818,1.50352,0.89894,0.59215,0.69324,0.45863,1.2896,1.28675,2.0447,0.00108913,0.00108913,0.00108913
15,23320,1.05196,1.09993,1.46958,0.80606,0.7266,0.79632,0.5162,1.19061,1.06518,1.94337,0.00107675,0.00107675,0.00107675
16,23352.3,1.07927,1.0932,1.48593,0.83363,0.69704,0.76673,0.51809,1.09982,1.08331,1.79664,0.00106437,0.00106437,0.00106437
17,23384.8,1.03624,1.05405,1.47355,0.60677,0.7498,0.73247,0.49385,1.08409,1.13713,1.81099,0.001052,0.001052,0.001052
18,23420.2,1.01276,0.98944,1.44945,0.71152,0.68148,0.7223,0.47765,1.21689,1.24395,1.98429,0.00103962,0.00103962,0.00103962
19,23453.3,1.04849,1.04769,1.50089,0.6748,0.7342,0.75201,0.51402,1.10403,1.07579,1.78669,0.00102725,0.00102725,0.00102725
20,23487.7,1.01234,0.99673,1.45583,0.8096,0.71136,0.78812,0.52549,1.11015,1.03031,1.80132,0.00101488,0.00101488,0.00101488
21,23520.6,1.05258,1.06862,1.49765,0.82333,0.72136,0.78829,0.51619,1.13676,0.98131,1.85244,0.0010025,0.0010025,0.0010025
22,23553.3,1.02037,0.99715,1.4579,0.78798,0.68863,0.75375,0.50101,1.13253,0.99755,1.85244,0.000990125,0.000990125,0.000990125
23,23586.4,1.01543,0.99859,1.47288,0.7487,0.70408,0.77376,0.52098,1.09268,0.91506,1.80867,0.00097775,0.00097775,0.00097775
24,23618.7,0.99609,0.95721,1.43455,0.73187,0.71543,0.76937,0.51467,1.13685,0.98316,1.81914,0.000965375,0.000965375,0.000965375
25,23652.6,0.97863,0.93039,1.42542,0.80253,0.71963,0.77324,0.50711,1.18298,0.95031,1.87345,0.000953,0.000953,0.000953
26,23685.1,1.0036,0.93182,1.44097,0.81245,0.74557,0.81201,0.52849,1.11214,0.90475,1.77676,0.000940625,0.000940625,0.000940625
27,23718.7,0.99135,0.93417,1.42753,0.74066,0.75901,0.78528,0.52405,1.10346,0.88661,1.79116,0.00092825,0.00092825,0.00092825
28,23751,0.9987,0.92695,1.45583,0.79365,0.70876,0.76877,0.52346,1.092,0.94412,1.75366,0.000915875,0.000915875,0.000915875
29,23784.1,0.95092,0.84475,1.40951,0.77663,0.78147,0.79097,0.52556,1.10324,0.92292,1.79065,0.0009035,0.0009035,0.0009035
30,23816.5,0.97397,0.87154,1.44156,0.76475,0.76993,0.80588,0.53364,1.11354,0.84725,1.787,0.000891125,0.000891125,0.000891125
31,23849.3,0.9692,0.88212,1.41749,0.74509,0.75675,0.82239,0.53236,1.10455,0.96777,1.78936,0.00087875,0.00087875,0.00087875
32,23883.7,0.99599,0.89253,1.45719,0.74757,0.76704,0.80027,0.51417,1.15605,0.90178,1.90403,0.000866375,0.000866375,0.000866375
33,23916.3,0.998,0.89406,1.43371,0.76982,0.75503,0.79254,0.53131,1.12266,0.85709,1.79948,0.000854,0.000854,0.000854
34,23948.6,0.95097,0.84641,1.42158,0.76397,0.76716,0.80846,0.53389,1.10384,0.82973,1.78993,0.000841625,0.000841625,0.000841625
35,23981.3,0.96389,0.8909,1.42326,0.78496,0.76919,0.80385,0.53397,1.10172,0.84169,1.76372,0.00082925,0.00082925,0.00082925
36,24013.6,0.98371,0.86354,1.41232,0.76609,0.79822,0.81571,0.53311,1.09895,0.77789,1.80407,0.000816875,0.000816875,0.000816875
37,24046.2,0.93872,0.82124,1.40658,0.78039,0.76511,0.81853,0.54014,1.07408,0.87245,1.75208,0.0008045,0.0008045,0.0008045
38,24079.1,0.97364,0.82209,1.40716,0.69462,0.81214,0.80599,0.5284,1.08569,0.83819,1.77458,0.000792125,0.000792125,0.000792125
39,24114.3,0.95845,0.8351,1.40619,0.73301,0.76698,0.80054,0.52719,1.08236,0.81496,1.79535,0.00077975,0.00077975,0.00077975
40,24147.8,0.95862,0.8386,1.41223,0.77096,0.76089,0.79075,0.53697,1.06788,0.86148,1.74697,0.000767375,0.000767375,0.000767375
41,24179.5,0.92738,0.81015,1.40841,0.75921,0.75087,0.79283,0.52912,1.0714,0.9271,1.76097,0.000755,0.000755,0.000755
42,24211.4,0.9549,0.84163,1.40004,0.71462,0.79081,0.78325,0.52396,1.0927,0.8093,1.76874,0.000742625,0.000742625,0.000742625
43,24243.6,0.90486,0.81408,1.39863,0.79347,0.78317,0.82058,0.53518,1.09876,0.82802,1.75703,0.00073025,0.00073025,0.00073025
44,24275.5,0.92339,0.80078,1.39009,0.81631,0.7673,0.82704,0.54745,1.06849,0.78989,1.75526,0.000717875,0.000717875,0.000717875
